return_rate,wardrobe_score,wardrobe_flags,batch_defect_rate,price,cost_price,days_since_delivery,photos_provided,category,stated_reason,claimed_condition,customer_comment,salvage_rate,is_abuse
0.668543053481313,0.9662000057947765,4,0.024639878836228098,189.63108315418506,72.28807585983328,24,0,Home & Kitchen,DEFECTIVE,USED,"Tags removed for event photoshoot, want refund",0.22999999999999998,1
0.5701975341512912,0.7162634114070958,5,0.0273235229154987,190.30662822938243,93.55750084469435,10,0,Apparel,DEFECTIVE,USED,"Wore to wedding party over the weekend, no longer needed",0.3,1
0.023705208973244442,0.24247746304049858,0,0.03497327922401265,286.31336838680033,110.62146269895702,10,1,Electronics,WRONG_ITEM,UNOPENED,Do not need this anymore,0.72,0
0.05301281177361809,0.07606056073988443,0,0.02574269294896713,541.0562216248543,220.88394521322053,3,1,Electronics,DOES_NOT_FIT,UNOPENED,Did not fit my shoulders properly,0.755,0
0.7753338026250707,0.7390582809825716,5,0.01584289297070436,464.97973822068235,205.15556875154843,28,1,Designer Handbags,DEFECTIVE,OPENED_LIKE_NEW,"Used for Saturday dinner, slightly tight",0.51,1
0.16133167305074245,0.049918445539589934,0,0.025427033152408348,187.9140064370617,67.51563888394556,14,0,Footwear,CHANGED_MIND,UNOPENED,"Changed mind, found cheaper elsewhere",0.78,0
0.1293580733422589,0.04263103092182288,0,0.011951547789558386,1140.7072232138667,619.5482151438217,4,0,Designer Handbags,WRONG_ITEM,UNOPENED,"Changed mind, found cheaper elsewhere",0.83,0
0.165511522660963,0.07615344229334267,0,0.012930163420191517,833.710310754102,365.1905432309029,11,0,Electronics,DOES_NOT_FIT,UNOPENED,Did not fit my shoulders properly,0.715,0
0.04196688227206019,0.12379422752781755,0,0.011031655633456552,1094.8116664113873,439.84715182187006,11,0,Luxury Apparel,DOES_NOT_FIT,OPENED_LIKE_NEW,Too loose around the waist,0.595,0
0.13925401118371677,0.07792776902235274,0,0.025602040635334326,175.3453268194019,67.85353737041989,7,1,Apparel,WRONG_ITEM,UNOPENED,ISP provided complimentary router so unneeded,0.815,0
0.19452523299762056,0.19378320584027864,0,0.038184968246925674,271.0775213676034,127.29258133503151,13,1,Home & Kitchen,DOES_NOT_FIT,OPENED_LIKE_NEW,Too loose around the waist,0.585,0
0.18593736230416105,0.022123125512979874,0,0.015879485872574355,92.46365513622416,38.3785255994881,10,0,Electronics,CHANGED_MIND,UNOPENED,Ordered wrong color variant by accident,0.72,0
0.07052804765963266,0.02713490317738959,0,0.22088537655582796,453.83385896456355,184.34136916714556,4,1,Designer Handbags,DEFECTIVE,DAMAGED,Zipper arrived broken and jammed,0.32999999999999996,0
0.0905504908105723,0.014092422497476265,0,0.21637348672818674,126.47874666853416,69.23160590294347,5,1,Luxury Apparel,DEFECTIVE,DAMAGED,Missing power cable and scratches on lens,0.32499999999999996,0
0.15900405847339835,0.0496789203835431,0,0.010165663513708073,249.25189282507938,122.4752686710431,2,0,Apparel,DOES_NOT_FIT,UNOPENED,"Sleeves are too long, otherwise nice fabric",0.84,0
0.8280532256184443,0.9159556970720648,3,0.011480893034681807,455.8202451113562,170.10017841168803,15,0,Electronics,CHANGED_MIND,USED,"Dress worn once for gala evening, return please",0.19499999999999995,1
0.17535861665760685,0.15582453170688948,0,0.019926940745579477,42.4785463286565,17.509506607108158,2,0,Footwear,WRONG_ITEM,UNOPENED,"Changed mind, found cheaper elsewhere",0.84,0
0.07853299796481447,0.18240154458451602,0,0.029126724140656396,268.98350420848976,119.54783153489359,7,1,Apparel,WRONG_ITEM,UNOPENED,Ordered wrong color variant by accident,0.815,0
0.04152696426889431,0.17831119680574875,0,0.03282355145850692,691.0815491806156,348.4387808312972,13,1,Electronics,WRONG_ITEM,OPENED_LIKE_NEW,Ordered wrong color variant by accident,0.505,0
0.10888320734559034,0.13068320734549851,0,0.02282623055075649,69.48618702315042,25.819558232952915,13,1,Electronics,CHANGED_MIND,UNOPENED,ISP provided complimentary router so unneeded,0.705,0
0.025657253423612168,0.1591026028159451,0,0.0194306794322898,164.85694007029326,87.6236553849709,2,0,Apparel,WRONG_ITEM,UNOPENED,Ordered wrong color variant by accident,0.84,0
0.05240798978935375,0.04103829230356298,0,0.2084436935523183,305.4058719702821,111.59407848668997,1,1,Designer Handbags,DEFECTIVE,OPENED_LIKE_NEW,Stopped powering on after 2 days,0.645,0
0.07215526152447825,0.040305321813501105,0,0.03789092957027719,977.4196402947236,465.91712847310225,8,0,Electronics,WRONG_ITEM,UNOPENED,ISP provided complimentary router so unneeded,0.73,0
0.13328987672440332,0.08036720768991146,0,0.11171691001062609,1075.368438248374,492.377278260973,2,0,Luxury Apparel,DEFECTIVE,DAMAGED,Missing power cable and scratches on lens,0.33999999999999997,0
0.16533922792953126,0.2240228249808733,0,0.019540104249155914,55.26427924511111,21.86183223028842,11,0,Home & Kitchen,WRONG_ITEM,UNOPENED,Ordered wrong color variant by accident,0.7949999999999999,0
0.09687940195272615,0.20450369148062328,0,0.0358219174976903,26.91183589607744,12.168172081893438,2,1,Footwear,CHANGED_MIND,UNOPENED,"Changed mind, found cheaper elsewhere",0.84,0
0.09513398056678023,0.05552695261768256,0,0.013595961020010485,117.84417213599768,63.468742938913095,12,0,Apparel,WRONG_ITEM,UNOPENED,ISP provided complimentary router so unneeded,0.79,0
0.6454413194093398,0.8452613740881425,2,0.024060379177903553,461.810338759981,251.3894211304427,11,0,Luxury Apparel,CHANGED_MIND,USED,"Wore to wedding party over the weekend, no longer needed",0.295,1
0.19324051308958004,0.06294557395634104,0,0.02491745517677156,389.01883938745283,158.31825749226263,8,0,Luxury Apparel,WRONG_ITEM,UNOPENED,Do not need this anymore,0.8099999999999999,0
0.5165991263095397,0.8706780135143711,5,0.02005358046457723,99.71535144998765,40.4574390298257,26,1,Luxury Apparel,DEFECTIVE,OPENED_LIKE_NEW,"Dress worn once for gala evening, return please",0.52,1
0.18348785947399768,0.059890472666743105,0,0.014346846162736692,159.59950907632984,87.32169389609814,6,0,Home & Kitchen,DOES_NOT_FIT,UNOPENED,"Size 9 fits too small, need half size up",0.82,0
0.05146718529649505,0.06721355474058786,0,0.20947533460588197,315.65955103118364,156.4545319921918,2,1,Electronics,DEFECTIVE,DAMAGED,Stopped powering on after 2 days,0.25999999999999995,0
0.08620096388946559,0.15807645764839487,0,0.02900589132282684,661.4986335267198,243.4698336368385,14,1,Designer Handbags,DOES_NOT_FIT,OPENED_LIKE_NEW,Did not fit my shoulders properly,0.5800000000000001,0
0.17035444920606285,0.08019501624293396,0,0.015595555311995628,87.29916420352615,40.871599486053185,13,0,Electronics,WRONG_ITEM,OPENED_LIKE_NEW,"Changed mind, found cheaper elsewhere",0.505,0
0.14196158513161083,0.004146957231964038,0,0.02536279174897843,302.735099229608,145.02057447533238,1,1,Luxury Apparel,CHANGED_MIND,OPENED_LIKE_NEW,ISP provided complimentary router so unneeded,0.645,0
0.05138595722089846,0.1727344345256165,0,0.021602060389016124,1126.606786934612,425.2987812312205,12,0,Electronics,CHANGED_MIND,UNOPENED,Do not need this anymore,0.7100000000000001,0
0.08139194318904654,0.028368380310147268,0,0.03774080854835688,266.26832217976977,106.93024964932609,4,0,Apparel,CHANGED_MIND,UNOPENED,ISP provided complimentary router so unneeded,0.83,0
0.13879712828615223,0.20430555005030396,0,0.02665602434798387,170.65390904790178,67.98347593763609,10,1,Apparel,DOES_NOT_FIT,UNOPENED,Too loose around the waist,0.7999999999999999,0
0.5418962455126546,0.9512204122269314,6,0.02800836114326661,199.10290075014868,83.18637823025466,22,1,Apparel,DEFECTIVE,USED,"Tags removed for event photoshoot, want refund",0.24,1
0.08285772343027897,0.18148891971755984,0,0.036913307798577315,1069.020252147536,540.8976387869204,1,0,Luxury Apparel,WRONG_ITEM,UNOPENED,ISP provided complimentary router so unneeded,0.845,0
0.1355656963077718,0.021034991248762208,0,0.014848861422838413,272.1024018449468,128.23800138212079,4,0,Footwear,WRONG_ITEM,OPENED_LIKE_NEW,Ordered wrong color variant by accident,0.63,0
0.021195616710161853,0.010147154286603212,0,0.19279530074836948,45.87143726161368,17.530302329916815,3,1,Designer Handbags,DEFECTIVE,OPENED_LIKE_NEW,Zipper arrived broken and jammed,0.635,0
0.7469302052149638,0.8937306553539541,6,0.02303922519005201,300.15239897424937,147.80579999840245,20,0,Electronics,CHANGED_MIND,USED,"Wore to wedding party over the weekend, no longer needed",0.16999999999999998,1
0.60676208937356,0.7911119154845949,4,0.024929828102360482,793.574162894769,412.53530843188076,12,0,Designer Handbags,CHANGED_MIND,OPENED_LIKE_NEW,"Tags removed for event photoshoot, want refund",0.5900000000000001,1
